candidate,best_label,score,total_docs,share_best,count_UP,count_DOWN,count_NEUTRAL
的这几,DOWN,5.3461,21,0.619,7,13,1
相信，,DOWN,5.3461,21,0.619,7,13,1
硕，,DOWN,5.3461,21,0.619,4,13,4
结果就是,DOWN,5.3461,21,0.619,1,13,7
老了,DOWN,5.3461,21,0.619,8,13,0
脸R][,DOWN,5.3461,21,0.619,2,13,6
说他们,DOWN,5.3461,21,0.619,4,13,4
说的是,DOWN,5.3461,21,0.619,4,13,4
跟她说,DOWN,5.3461,21,0.619,6,13,2
过一次,DOWN,5.3461,21,0.619,4,13,4
还觉,DOWN,5.3461,21,0.619,4,13,4
还觉得,DOWN,5.3461,21,0.619,4,13,4
道是我,DOWN,5.3461,21,0.619,0,13,8
，否,DOWN,5.3461,21,0.619,3,13,5
，告诉,DOWN,5.3461,21,0.619,4,13,4
，想问,DOWN,5.3461,21,0.619,2,13,6
，花了,DOWN,5.3461,21,0.619,4,13,4
上班了,DOWN,5.2791,13,0.846,0,11,2
不对劲，,DOWN,5.2791,13,0.846,0,11,2
与“,DOWN,5.2791,13,0.846,1,11,1
么重要,DOWN,5.2791,13,0.846,2,11,0
也给我,DOWN,5.2791,13,0.846,0,11,2
了了，,DOWN,5.2791,13,0.846,0,11,2
了，也不,DOWN,5.2791,13,0.846,0,11,2
们，这,DOWN,5.2791,13,0.846,2,11,0
你如,DOWN,5.2791,13,0.846,1,11,1
候我都,DOWN,5.2791,13,0.846,2,11,0
做不了,DOWN,5.2791,13,0.846,0,11,2
做的不,DOWN,5.2791,13,0.846,2,11,0
到家，,DOWN,5.2791,13,0.846,1,11,1
可笑,DOWN,5.2791,13,0.846,0,11,2
后，他,DOWN,5.2791,13,0.846,0,11,2
啊..,DOWN,5.2791,13,0.846,0,11,2
天给我,DOWN,5.2791,13,0.846,2,11,0
天，但,DOWN,5.2791,13,0.846,0,11,2
婚前,DOWN,5.2791,13,0.846,2,11,0
子买,DOWN,5.2791,13,0.846,2,11,0
学历，,DOWN,5.2791,13,0.846,1,11,1
实在不知,DOWN,5.2791,13,0.846,2,11,0
实在不知道,DOWN,5.2791,13,0.846,2,11,0
对劲，,DOWN,5.2791,13,0.846,0,11,2
就以,DOWN,5.2791,13,0.846,2,11,0
就离,DOWN,5.2791,13,0.846,1,11,1
年期,DOWN,5.2791,13,0.846,1,11,1
当时在,DOWN,5.2791,13,0.846,2,11,0
得我这,DOWN,5.2791,13,0.846,1,11,1
心去,DOWN,5.2791,13,0.846,1,11,1
怎么回复,DOWN,5.2791,13,0.846,1,11,1
息说,DOWN,5.2791,13,0.846,1,11,1
想等,DOWN,5.2791,13,0.846,0,11,2
我一个月,DOWN,5.2791,13,0.846,1,11,1
我努,DOWN,5.2791,13,0.846,2,11,0
我努力,DOWN,5.2791,13,0.846,2,11,0
我就开,DOWN,5.2791,13,0.846,2,11,0
我就开始,DOWN,5.2791,13,0.846,2,11,0
我此,DOWN,5.2791,13,0.846,2,11,0
我的原,DOWN,5.2791,13,0.846,0,11,2
我的错,DOWN,5.2791,13,0.846,1,11,1
才回,DOWN,5.2791,13,0.846,1,11,1
挂科,DOWN,5.2791,13,0.846,0,11,2
挺无,DOWN,5.2791,13,0.846,2,11,0
施加,DOWN,5.2791,13,0.846,0,11,2
时候我都,DOWN,5.2791,13,0.846,2,11,0
时就是,DOWN,5.2791,13,0.846,0,11,2
是你自,DOWN,5.2791,13,0.846,2,11,0
是你自己,DOWN,5.2791,13,0.846,2,11,0
是想着,DOWN,5.2791,13,0.846,1,11,1
更别提,DOWN,5.2791,13,0.846,2,11,0
有什么不,DOWN,5.2791,13,0.846,1,11,1
有缺,DOWN,5.2791,13,0.846,0,11,2
死了。,DOWN,5.2791,13,0.846,0,11,2
没睡,DOWN,5.2791,13,0.846,1,11,1
溜了,DOWN,5.2791,13,0.846,0,11,2
然后，,DOWN,5.2791,13,0.846,1,11,1
然收到,DOWN,5.2791,13,0.846,1,11,1
父亲，,DOWN,5.2791,13,0.846,2,11,0
爸在,DOWN,5.2791,13,0.846,1,11,1
玩笑，,DOWN,5.2791,13,0.846,2,11,0
班有,DOWN,5.2791,13,0.846,1,11,1
的永,DOWN,5.2791,13,0.846,1,11,1
的阴影,DOWN,5.2791,13,0.846,2,11,0
知道是什,DOWN,5.2791,13,0.846,0,11,2
突然收到,DOWN,5.2791,13,0.846,1,11,1
继续说,DOWN,5.2791,13,0.846,2,11,0
续说,DOWN,5.2791,13,0.846,2,11,0
胸口,DOWN,5.2791,13,0.846,1,11,1
至于我,DOWN,5.2791,13,0.846,1,11,1
车祸,DOWN,5.2791,13,0.846,2,11,0
这之,DOWN,5.2791,13,0.846,1,11,1
道是什,DOWN,5.2791,13,0.846,0,11,2
遭到,DOWN,5.2791,13,0.846,1,11,1
里工,DOWN,5.2791,13,0.846,2,11,0
里工作,DOWN,5.2791,13,0.846,2,11,0
钱。我,DOWN,5.2791,13,0.846,2,11,0
问为什,DOWN,5.2791,13,0.846,2,11,0
问为什么,DOWN,5.2791,13,0.846,2,11,0
餐桌,DOWN,5.2791,13,0.846,2,11,0
高考的,DOWN,5.2791,13,0.846,2,11,0
！免,DOWN,5.2791,13,0.846,0,11,2
，为什么还,DOWN,5.2791,13,0.846,0,11,2
，崩溃,DOWN,5.2791,13,0.846,1,11,1
，浑,DOWN,5.2791,13,0.846,2,11,0
，言,DOWN,5.2791,13,0.846,1,11,1
？我真的,DOWN,5.2791,13,0.846,2,11,0
————二,DOWN,5.2618,17,0.706,2,12,3
———二,DOWN,5.2618,17,0.706,2,12,3
。但是，,DOWN,5.2618,17,0.706,4,12,1
。都,DOWN,5.2618,17,0.706,3,12,2
业要,DOWN,5.2618,17,0.706,2,12,3
为了自,DOWN,5.2618,17,0.706,5,12,0
书读,DOWN,5.2618,17,0.706,4,12,1
了为什,DOWN,5.2618,17,0.706,3,12,2
了为什么,DOWN,5.2618,17,0.706,3,12,2
了问题,DOWN,5.2618,17,0.706,5,12,0
于那,DOWN,5.2618,17,0.706,2,12,3
今天也,DOWN,5.2618,17,0.706,5,12,0
但想,DOWN,5.2618,17,0.706,4,12,1
便找,DOWN,5.2618,17,0.706,3,12,2
信自己,DOWN,5.2618,17,0.706,4,12,1
光鲜,DOWN,5.2618,17,0.706,4,12,1
在内地,DOWN,5.2618,17,0.706,3,12,2
好的事,DOWN,5.2618,17,0.706,3,12,2
妈说我,DOWN,5.2618,17,0.706,0,12,5
子也是,DOWN,5.2618,17,0.706,1,12,4
学分,DOWN,5.2618,17,0.706,4,12,1
孩子也,DOWN,5.2618,17,0.706,0,12,5
工作，但,DOWN,5.2618,17,0.706,5,12,0
已读,DOWN,5.2618,17,0.706,1,12,4
希望他,DOWN,5.2618,17,0.706,4,12,1
幼稚,DOWN,5.2618,17,0.706,4,12,1
弃，,DOWN,5.2618,17,0.706,2,12,3
当着,DOWN,5.2618,17,0.706,3,12,2
很深,DOWN,5.2618,17,0.706,4,12,1
心。我,DOWN,5.2618,17,0.706,1,12,4
想用,DOWN,5.2618,17,0.706,4,12,1
感觉心,DOWN,5.2618,17,0.706,5,12,0
我只想,DOWN,5.2618,17,0.706,4,12,1
我很想,DOWN,5.2618,17,0.706,3,12,2
我知道这,DOWN,5.2618,17,0.706,3,12,2
我结婚,DOWN,5.2618,17,0.706,2,12,3
我钱,DOWN,5.2618,17,0.706,5,12,0
打扫卫,DOWN,5.2618,17,0.706,3,12,2
打扫卫生,DOWN,5.2618,17,0.706,3,12,2
扫卫,DOWN,5.2618,17,0.706,3,12,2
扫卫生,DOWN,5.2618,17,0.706,3,12,2
搭子，,DOWN,5.2618,17,0.706,3,12,2
敷衍,DOWN,5.2618,17,0.706,5,12,0
有，我,DOWN,5.2618,17,0.706,4,12,1
末考,DOWN,5.2618,17,0.706,4,12,1
样了，,DOWN,5.2618,17,0.706,3,12,2
然后说,DOWN,5.2618,17,0.706,1,12,4
熟人,DOWN,5.2618,17,0.706,2,12,3
的时候有,DOWN,5.2618,17,0.706,1,12,4
的现在,DOWN,5.2618,17,0.706,1,12,4
相信自,DOWN,5.2618,17,0.706,4,12,1
相信自己,DOWN,5.2618,17,0.706,4,12,1
第二个,DOWN,5.2618,17,0.706,3,12,2
觉心,DOWN,5.2618,17,0.706,5,12,0
费。,DOWN,5.2618,17,0.706,0,12,5
起之,DOWN,5.2618,17,0.706,2,12,3
过。我,DOWN,5.2618,17,0.706,3,12,2
近也,DOWN,5.2618,17,0.706,4,12,1
遇到过,DOWN,5.2618,17,0.706,1,12,4
骗子,DOWN,5.2618,17,0.706,2,12,3
骗我,DOWN,5.2618,17,0.706,3,12,2
，但是因,DOWN,5.2618,17,0.706,3,12,2
，但是因为,DOWN,5.2618,17,0.706,3,12,2
，然后他,DOWN,5.2618,17,0.706,3,12,2
，结婚,DOWN,5.2618,17,0.706,2,12,3
？没,DOWN,5.2618,17,0.706,0,12,5
.现,DOWN,5.1765,22,0.591,7,13,2
R][石,DOWN,5.1765,22,0.591,4,13,5
R][石化,DOWN,5.1765,22,0.591,4,13,5
R][石化R,DOWN,5.1765,22,0.591,4,13,5
[完,DOWN,5.1765,22,0.591,3,13,6
[完啦,DOWN,5.1765,22,0.591,3,13,6
[完啦R,DOWN,5.1765,22,0.591,3,13,6
[完啦R],DOWN,5.1765,22,0.591,3,13,6
][石,DOWN,5.1765,22,0.591,4,13,5
][石化,DOWN,5.1765,22,0.591,4,13,5
][石化R,DOWN,5.1765,22,0.591,4,13,5
][石化R],DOWN,5.1765,22,0.591,4,13,5
不想上,DOWN,5.1765,22,0.591,6,13,3
个小小的,DOWN,5.1765,22,0.591,5,13,4
了，之,DOWN,5.1765,22,0.591,5,13,4
们出,DOWN,5.1765,22,0.591,9,13,0
住自,DOWN,5.1765,22,0.591,5,13,4
几次，,DOWN,5.1765,22,0.591,5,13,4
出去，,DOWN,5.1765,22,0.591,2,13,7
化妆品,DOWN,5.1765,22,0.591,7,13,2
友拍,DOWN,5.1765,22,0.591,5,13,4
受害,DOWN,5.1765,22,0.591,4,13,5
后我们,DOWN,5.1765,22,0.591,6,13,3
否有,DOWN,5.1765,22,0.591,3,13,6
咋办,DOWN,5.1765,22,0.591,6,13,3
啦R,DOWN,5.1765,22,0.591,3,13,6
啦R],DOWN,5.1765,22,0.591,3,13,6
型人格,DOWN,5.1765,22,0.591,2,13,7
天好,DOWN,5.1765,22,0.591,3,13,6
好、,DOWN,5.1765,22,0.591,6,13,3
好好学习,DOWN,5.1765,22,0.591,8,13,1
好学习,DOWN,5.1765,22,0.591,8,13,1
妆品,DOWN,5.1765,22,0.591,7,13,2
子，但,DOWN,5.1765,22,0.591,6,13,3
完啦R,DOWN,5.1765,22,0.591,3,13,6
完啦R],DOWN,5.1765,22,0.591,3,13,6
家没,DOWN,5.1765,22,0.591,6,13,3
己的情,DOWN,5.1765,22,0.591,6,13,3
很严,DOWN,5.1765,22,0.591,9,13,0
懂。,DOWN,5.1765,22,0.591,6,13,3
我们没,DOWN,5.1765,22,0.591,5,13,4
我所,DOWN,5.1765,22,0.591,7,13,2
把这个,DOWN,5.1765,22,0.591,4,13,5
是否有,DOWN,5.1765,22,0.591,3,13,6
是大学,DOWN,5.1765,22,0.591,5,13,4
是自己的,DOWN,5.1765,22,0.591,7,13,2
最近一,DOWN,5.1765,22,0.591,5,13,4
现在就是,DOWN,5.1765,22,0.591,6,13,3
的室,DOWN,5.1765,22,0.591,3,13,6
的父亲,DOWN,5.1765,22,0.591,4,13,5
的讨,DOWN,5.1765,22,0.591,6,13,3
看吗,DOWN,5.1765,22,0.591,0,13,9
续续,DOWN,5.1765,22,0.591,6,13,3
自己的情,DOWN,5.1765,22,0.591,6,13,3
银行卡,DOWN,5.1765,22,0.591,7,13,2
（本,DOWN,5.1765,22,0.591,6,13,3
，你也,DOWN,5.1765,22,0.591,8,13,1
，完全不,DOWN,5.1765,22,0.591,4,13,5
？最,DOWN,5.1765,22,0.591,4,13,5
、加,DOWN,5.1534,10,1.0,0,10,0
。我让,DOWN,5.1534,10,1.0,0,10,0
不亲,DOWN,5.1534,10,1.0,0,10,0
不信任,DOWN,5.1534,10,1.0,0,10,0
不愿意，,DOWN,5.1534,10,1.0,0,10,0
不进去，,DOWN,5.1534,10,1.0,0,10,0
个头，,DOWN,5.1534,10,1.0,0,10,0
么办啊，,DOWN,5.1534,10,1.0,0,10,0
么情,DOWN,5.1534,10,1.0,0,10,0
也不知道是,DOWN,5.1534,10,1.0,0,10,0
买房，,DOWN,5.1534,10,1.0,0,10,0
什么情,DOWN,5.1534,10,1.0,0,10,0
他买,DOWN,5.1534,10,1.0,0,10,0
但是今,DOWN,5.1534,10,1.0,0,10,0
你说这,DOWN,5.1534,10,1.0,0,10,0
去拍照,DOWN,5.1534,10,1.0,0,10,0
又过,DOWN,5.1534,10,1.0,0,10,0
在我身边,DOWN,5.1534,10,1.0,0,10,0
她微,DOWN,5.1534,10,1.0,0,10,0
好崩,DOWN,5.1534,10,1.0,0,10,0
子吧，,DOWN,5.1534,10,1.0,0,10,0
学贷,DOWN,5.1534,10,1.0,0,10,0
孩子生,DOWN,5.1534,10,1.0,0,10,0
对峙,DOWN,5.1534,10,1.0,0,10,0
就这样一,DOWN,5.1534,10,1.0,0,10,0
己的钱,DOWN,5.1534,10,1.0,0,10,0
平时就,DOWN,5.1534,10,1.0,0,10,0
很正常，,DOWN,5.1534,10,1.0,0,10,0
心情不好,DOWN,5.1534,10,1.0,0,10,0
怎么办啊，,DOWN,5.1534,10,1.0,0,10,0
怎么找,DOWN,5.1534,10,1.0,0,10,0
情不好,DOWN,5.1534,10,1.0,0,10,0
愿意，,DOWN,5.1534,10,1.0,0,10,0
我分手,DOWN,5.1534,10,1.0,0,10,0
我时常,DOWN,5.1534,10,1.0,0,10,0
我的时间,DOWN,5.1534,10,1.0,0,10,0
我的自我,DOWN,5.1534,10,1.0,0,10,0
我，可,DOWN,5.1534,10,1.0,0,10,0
所谓。,DOWN,5.1534,10,1.0,0,10,0
承认了,DOWN,5.1534,10,1.0,0,10,0
曾经我,DOWN,5.1534,10,1.0,0,10,0
母离异,DOWN,5.1534,10,1.0,0,10,0
没有父母,DOWN,5.1534,10,1.0,0,10,0
没有能力,DOWN,5.1534,10,1.0,0,10,0
港铁站,DOWN,5.1534,10,1.0,0,10,0
焦虑到,DOWN,5.1534,10,1.0,0,10,0
父母离异,DOWN,5.1534,10,1.0,0,10,0
理状,DOWN,5.1534,10,1.0,0,10,0
理状态,DOWN,5.1534,10,1.0,0,10,0
白嫖,DOWN,5.1534,10,1.0,0,10,0
的争,DOWN,5.1534,10,1.0,0,10,0
的人，又,DOWN,5.1534,10,1.0,0,10,0
糟糕。,DOWN,5.1534,10,1.0,0,10,0
而是对,DOWN,5.1534,10,1.0,0,10,0
自己的钱,DOWN,5.1534,10,1.0,0,10,0
苦吗,DOWN,5.1534,10,1.0,0,10,0
虽然我知,DOWN,5.1534,10,1.0,0,10,0
虽然我知道,DOWN,5.1534,10,1.0,0,10,0
被学,DOWN,5.1534,10,1.0,0,10,0
要告诉,DOWN,5.1534,10,1.0,0,10,0
视奸,DOWN,5.1534,10,1.0,0,10,0
让朋,DOWN,5.1534,10,1.0,0,10,0
让朋友,DOWN,5.1534,10,1.0,0,10,0
谓。,DOWN,5.1534,10,1.0,0,10,0
远没有,DOWN,5.1534,10,1.0,0,10,0
都有问,DOWN,5.1534,10,1.0,0,10,0
都有问题,DOWN,5.1534,10,1.0,0,10,0
钱被,DOWN,5.1534,10,1.0,0,10,0
饭桌,DOWN,5.1534,10,1.0,0,10,0
，即使我,DOWN,5.1534,10,1.0,0,10,0
，我真的不,DOWN,5.1534,10,1.0,0,10,0
，而是对,DOWN,5.1534,10,1.0,0,10,0
[失望R][,DOWN,5.0624,18,0.667,2,12,4
一个普通,DOWN,5.0624,18,0.667,4,12,2
上来了,DOWN,5.0624,18,0.667,4,12,2
个店,DOWN,5.0624,18,0.667,2,12,4
也不懂,DOWN,5.0624,18,0.667,5,12,1
了。然,DOWN,5.0624,18,0.667,2,12,4
了。然后,DOWN,5.0624,18,0.667,2,12,4
了，当,DOWN,5.0624,18,0.667,3,12,3
人没有,DOWN,5.0624,18,0.667,1,12,5
他一个,DOWN,5.0624,18,0.667,3,12,3
你的人,DOWN,5.0624,18,0.667,3,12,3
充斥,DOWN,5.0624,18,0.667,3,12,3
八岁,DOWN,5.0624,18,0.667,3,12,3
分离,DOWN,5.0624,18,0.667,2,12,4
又看,DOWN,5.0624,18,0.667,1,12,5
发了个,DOWN,5.0624,18,0.667,6,12,0
发送,DOWN,5.0624,18,0.667,5,12,1
听劝,DOWN,5.0624,18,0.667,4,12,2
埋怨,DOWN,5.0624,18,0.667,4,12,2
天回,DOWN,5.0624,18,0.667,4,12,2
失望R][,DOWN,5.0624,18,0.667,2,12,4
她真的,DOWN,5.0624,18,0.667,4,12,2
如题，,DOWN,5.0624,18,0.667,4,12,2
岁。,DOWN,5.0624,18,0.667,5,12,1
已是,DOWN,5.0624,18,0.667,3,12,3
很忙,DOWN,5.0624,18,0.667,3,12,3
很怕,DOWN,5.0624,18,0.667,5,12,1
微信，,DOWN,5.0624,18,0.667,2,12,4
我们学校,DOWN,5.0624,18,0.667,2,12,4
我内,DOWN,5.0624,18,0.667,4,12,2
我爸爸,DOWN,5.0624,18,0.667,2,12,4
我说是,DOWN,5.0624,18,0.667,3,12,3
我跟他,DOWN,5.0624,18,0.667,1,12,5
无名,DOWN,5.0624,18,0.667,4,12,2
是5,DOWN,5.0624,18,0.667,5,12,1
是刚,DOWN,5.0624,18,0.667,4,12,2
晚上1,DOWN,5.0624,18,0.667,3,12,3
有道,DOWN,5.0624,18,0.667,6,12,0
服不,DOWN,5.0624,18,0.667,3,12,3
望R][,DOWN,5.0624,18,0.667,2,12,4
根本就,DOWN,5.0624,18,0.667,2,12,4
水杯,DOWN,5.0624,18,0.667,4,12,2
疑我,DOWN,5.0624,18,0.667,4,12,2
百的,DOWN,5.0624,18,0.667,2,12,4
的初中,DOWN,5.0624,18,0.667,3,12,3
种事情,DOWN,5.0624,18,0.667,5,12,1
答应了,DOWN,5.0624,18,0.667,3,12,3
给他发,DOWN,5.0624,18,0.667,5,12,1
给对,DOWN,5.0624,18,0.667,1,12,5
给我转,DOWN,5.0624,18,0.667,3,12,3
能得到,DOWN,5.0624,18,0.667,5,12,1
苦苦,DOWN,5.0624,18,0.667,2,12,4
要结,DOWN,5.0624,18,0.667,4,12,2
诉自,DOWN,5.0624,18,0.667,2,12,4
诉自己,DOWN,5.0624,18,0.667,2,12,4
说因,DOWN,5.0624,18,0.667,2,12,4
说因为,DOWN,5.0624,18,0.667,2,12,4
较，,DOWN,5.0624,18,0.667,5,12,1
还跟,DOWN,5.0624,18,0.667,2,12,4
这件事，,DOWN,5.0624,18,0.667,2,12,4
这类,DOWN,5.0624,18,0.667,3,12,3
错，我,DOWN,5.0624,18,0.667,6,12,0
长相,DOWN,5.0624,18,0.667,3,12,3
问题，我,DOWN,5.0624,18,0.667,2,12,4
阿姨说,DOWN,5.0624,18,0.667,4,12,2
高中的,DOWN,5.0624,18,0.667,3,12,3
默了,DOWN,5.0624,18,0.667,4,12,2
，但一,DOWN,5.0624,18,0.667,6,12,0
，初中,DOWN,5.0624,18,0.667,5,12,1
，嘴,DOWN,5.0624,18,0.667,1,12,5
，我一个,DOWN,5.0624,18,0.667,5,12,1
，该怎,DOWN,5.0624,18,0.667,0,12,6
？我们,DOWN,5.0624,18,0.667,2,12,4
0岁了,DOWN,5.0302,14,0.786,2,11,1
一辈子，,DOWN,5.0302,14,0.786,3,11,0
不想回,DOWN,5.0302,14,0.786,2,11,1
不结婚,DOWN,5.0302,14,0.786,2,11,1
不起来，,DOWN,5.0302,14,0.786,0,11,3
不過,DOWN,5.0302,14,0.786,0,11,3
业压,DOWN,5.0302,14,0.786,3,11,0
业压力,DOWN,5.0302,14,0.786,3,11,0
东西就,DOWN,5.0302,14,0.786,0,11,3
个人想,DOWN,5.0302,14,0.786,2,11,1
了避,DOWN,5.0302,14,0.786,1,11,2
了，如果,DOWN,5.0302,14,0.786,3,11,0
事情我,DOWN,5.0302,14,0.786,3,11,0
以尽,DOWN,5.0302,14,0.786,2,11,1
删了，,DOWN,5.0302,14,0.786,1,11,2
到这种情况,DOWN,5.0302,14,0.786,0,11,3
午回,DOWN,5.0302,14,0.786,3,11,0
友送的,DOWN,5.0302,14,0.786,3,11,0
反应，,DOWN,5.0302,14,0.786,0,11,3
吧？我,DOWN,5.0302,14,0.786,0,11,3
员也,DOWN,5.0302,14,0.786,0,11,3
大吵,DOWN,5.0302,14,0.786,1,11,2
孤独的,DOWN,5.0302,14,0.786,3,11,0
学回,DOWN,5.0302,14,0.786,1,11,2
学校。,DOWN,5.0302,14,0.786,1,11,2
孩子是,DOWN,5.0302,14,0.786,0,11,3
就真,DOWN,5.0302,14,0.786,0,11,3
广大网,DOWN,5.0302,14,0.786,1,11,2
广大网友,DOWN,5.0302,14,0.786,1,11,2
当事人,DOWN,5.0302,14,0.786,0,11,3
忙碌的,DOWN,5.0302,14,0.786,0,11,3
我高中,DOWN,5.0302,14,0.786,3,11,0
搬出,DOWN,5.0302,14,0.786,1,11,2
有一部,DOWN,5.0302,14,0.786,0,11,3
有人发,DOWN,5.0302,14,0.786,2,11,1
有救,DOWN,5.0302,14,0.786,0,11,3
朋友送的,DOWN,5.0302,14,0.786,3,11,0
母。,DOWN,5.0302,14,0.786,1,11,2
母也,DOWN,5.0302,14,0.786,2,11,1
然收,DOWN,5.0302,14,0.786,2,11,1
父母也,DOWN,5.0302,14,0.786,2,11,1
牙齿,DOWN,5.0302,14,0.786,1,11,2
男朋友送的,DOWN,5.0302,14,0.786,3,11,0
的不对,DOWN,5.0302,14,0.786,1,11,2
的位置，,DOWN,5.0302,14,0.786,1,11,2
的命运,DOWN,5.0302,14,0.786,2,11,1
的概念,DOWN,5.0302,14,0.786,2,11,1
着发,DOWN,5.0302,14,0.786,2,11,1
空白，,DOWN,5.0302,14,0.786,3,11,0
突然收,DOWN,5.0302,14,0.786,2,11,1
考了，,DOWN,5.0302,14,0.786,0,11,3
肯定要,DOWN,5.0302,14,0.786,3,11,0
脸不,DOWN,5.0302,14,0.786,0,11,3
自己，我,DOWN,5.0302,14,0.786,1,11,2
行我,DOWN,5.0302,14,0.786,3,11,0
西就,DOWN,5.0302,14,0.786,0,11,3
要一起,DOWN,5.0302,14,0.786,0,11,3
认不,DOWN,5.0302,14,0.786,2,11,1
让一,DOWN,5.0302,14,0.786,1,11,2
让我自,DOWN,5.0302,14,0.786,3,11,0
说啥,DOWN,5.0302,14,0.786,0,11,3
跟他在一,DOWN,5.0302,14,0.786,2,11,1
跟他在一起,DOWN,5.0302,14,0.786,2,11,1
身边，,DOWN,5.0302,14,0.786,2,11,1
软，,DOWN,5.0302,14,0.786,1,11,2
辍学,DOWN,5.0302,14,0.786,3,11,0
这段关,DOWN,5.0302,14,0.786,0,11,3
这段关系,DOWN,5.0302,14,0.786,0,11,3
這麼,DOWN,5.0302,14,0.786,1,11,2
遇到这种情,DOWN,5.0302,14,0.786,0,11,3
遇到这种情况,DOWN,5.0302,14,0.786,0,11,3
都是因为,DOWN,5.0302,14,0.786,2,11,1
面对的,DOWN,5.0302,14,0.786,2,11,1
，所以他,DOWN,5.0302,14,0.786,2,11,1
，现在是,DOWN,5.0302,14,0.786,2,11,1
，说他,DOWN,5.0302,14,0.786,2,11,1
，调,DOWN,5.0302,14,0.786,3,11,0
.想,DOWN,4.8795,19,0.632,2,12,5
.现在,DOWN,4.8795,19,0.632,5,12,2
@走走薯@,DOWN,4.8795,19,0.632,6,12,1
——二,DOWN,4.8795,19,0.632,4,12,3
—二,DOWN,4.8795,19,0.632,4,12,3
。被,DOWN,4.8795,19,0.632,4,12,3
不入,DOWN,4.8795,19,0.632,4,12,3
不让我,DOWN,4.8795,19,0.632,3,12,4
不顺,DOWN,4.8795,19,0.632,2,12,5
也没有，,DOWN,4.8795,19,0.632,0,12,7
了……我,DOWN,4.8795,19,0.632,4,12,3
了一个多,DOWN,4.8795,19,0.632,5,12,2
了天,DOWN,4.8795,19,0.632,4,12,3
了开始,DOWN,4.8795,19,0.632,5,12,2
他学,DOWN,4.8795,19,0.632,2,12,5
们小,DOWN,4.8795,19,0.632,2,12,5
作都,DOWN,4.8795,19,0.632,4,12,3
去自,DOWN,4.8795,19,0.632,2,12,5
发现自己的,DOWN,4.8795,19,0.632,7,12,0
回去，,DOWN,4.8795,19,0.632,2,12,5
多年，,DOWN,4.8795,19,0.632,5,12,2
她出,DOWN,4.8795,19,0.632,1,12,6
她才,DOWN,4.8795,19,0.632,5,12,2
子吧,DOWN,4.8795,19,0.632,4,12,3
孩的,DOWN,4.8795,19,0.632,1,12,6
就会被,DOWN,4.8795,19,0.632,3,12,4
己一个,DOWN,4.8795,19,0.632,4,12,3
己学,DOWN,4.8795,19,0.632,6,12,1
年以,DOWN,4.8795,19,0.632,3,12,4
很强的,DOWN,4.8795,19,0.632,3,12,4
忍，,DOWN,4.8795,19,0.632,4,12,3
我花,DOWN,4.8795,19,0.632,4,12,3
时很,DOWN,4.8795,19,0.632,5,12,2
来你,DOWN,4.8795,19,0.632,5,12,2
次有,DOWN,4.8795,19,0.632,2,12,5
现自己的,DOWN,4.8795,19,0.632,7,12,0
的影响，,DOWN,4.8795,19,0.632,2,12,5
的，没有,DOWN,4.8795,19,0.632,2,12,5
眼皮,DOWN,4.8795,19,0.632,5,12,2
精修,DOWN,4.8795,19,0.632,5,12,2
自己一个,DOWN,4.8795,19,0.632,4,12,3
自己学,DOWN,4.8795,19,0.632,6,12,1
话，说,DOWN,4.8795,19,0.632,3,12,4
走薯@,DOWN,4.8795,19,0.632,6,12,1
走走薯@,DOWN,4.8795,19,0.632,6,12,1
道理，,DOWN,4.8795,19,0.632,5,12,2
都说不,DOWN,4.8795,19,0.632,3,12,4
里总,DOWN,4.8795,19,0.632,7,12,0
黑，,DOWN,4.8795,19,0.632,2,12,5
！他,DOWN,4.8795,19,0.632,6,12,1
，否则,DOWN,4.8795,19,0.632,3,12,4
，担心,DOWN,4.8795,19,0.632,5,12,2
，现实,DOWN,4.8795,19,0.632,3,12,4
，那时,DOWN,4.8795,19,0.632,5,12,2
。等我,DOWN,4.8549,11,0.909,1,10,0
一代人,DOWN,4.8549,11,0.909,1,10,0
一句道,DOWN,4.8549,11,0.909,0,10,1
一句道歉,DOWN,4.8549,11,0.909,0,10,1
下水道,DOWN,4.8549,11,0.909,1,10,0
不允许我,DOWN,4.8549,11,0.909,1,10,0
不想结,DOWN,4.8549,11,0.909,0,10,1
不想结婚,DOWN,4.8549,11,0.909,0,10,1
不满意，,DOWN,4.8549,11,0.909,0,10,1
为什么我会,DOWN,4.8549,11,0.909,1,10,0
么不好,DOWN,4.8549,11,0.909,0,10,1
么我会,DOWN,4.8549,11,0.909,1,10,0
么辛,DOWN,4.8549,11,0.909,1,10,0
么辛苦,DOWN,4.8549,11,0.909,1,10,0
也是直接,DOWN,4.8549,11,0.909,0,10,1
了。后,DOWN,4.8549,11,0.909,0,10,1
了医,DOWN,4.8549,11,0.909,0,10,1
了，我想,DOWN,4.8549,11,0.909,0,10,1
了，最近,DOWN,4.8549,11,0.909,1,10,0
人面前,DOWN,4.8549,11,0.909,1,10,0
什么我会,DOWN,4.8549,11,0.909,1,10,0
什么每,DOWN,4.8549,11,0.909,0,10,1
仅剩,DOWN,4.8549,11,0.909,0,10,1
他同事,DOWN,4.8549,11,0.909,0,10,1
你们真,DOWN,4.8549,11,0.909,0,10,1
儿子，,DOWN,4.8549,11,0.909,0,10,1
共存,DOWN,4.8549,11,0.909,1,10,0
